EmployeeID,EmployeeName,Salary,Position,State,DateOfBirth,Gender,MaritalStatus,HiringDate,TerminationDate,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmployeeSatisfaction,HireYear
17,James Taylor,70131,Production Technician II,MA,1966-04-17,F,Married,2016-07-21,NULL,Active,Production,Employee Referral,Exceeds,4.4,Average,2016
25,Benjamin Clark,57815,Production Technician II,MA,1967-01-16,F,Single,2011-01-10,4/4/2014,Voluntarily Terminated,Production,Google Search,Fully Meets,4.8,Excellent,2011
28,Kimberly Anderson,74312,Production Manager,MA,1970-03-10,M,Single,2013-09-30,8/7/2014,Voluntarily Terminated,Production,Indeed,Fully Meets,3.39,Average,2013
31,Daniel Harris,65288,Production Technician II,MA,1983-07-28,M,Single,2014-09-29,NULL,Active,Production,Google Search,Fully Meets,3.19,Average,2014
34,Rachel Martinez,63763,Production Technician II,MA,1980-03-02,F,Single,2012-03-05,NULL,Active,Production,Employee Referral,Fully Meets,4.51,Good,2012
44,Brittany Baker,54237,Production Technician I,MA,1979-02-12,F,Single,2014-05-12,NULL,Active,Production,Indeed,Fully Meets,3.3,Good,2014
49,Brian Thompson,68678,IT Support,MA,1985-09-05,M,Single,2012-09-05,NULL,Active,IT/IS,Indeed,Fully Meets,4.7,Average,2012
64,Melissa Edwards,56294,Production Technician II,MA,1979-09-14,M,Single,2011-11-07,NULL,Active,Production,LinkedIn,Fully Meets,3.96,Good,2011
99,Michael Young,67251,Area Sales Manager,CT,1963-08-28,M,Single,2011-09-06,NULL,Active,Sales,CareerBuilder,Fully Meets,4.3,Average,2011
104,Jessica Foster,51505,Production Technician I,MA,1970-05-15,F,Divorced,2011-11-07,11/15/2016,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.24,Good,2011
119,James Evans,62957,Production Manager,MA,1981-07-11,M,Divorced,2015-06-02,NULL,Active,Production,Employee Referral,Fully Meets,4.63,Average,2015
156,Gabriel Murphy,71339,Area Sales Manager,NY,1969-02-24,M,Single,2011-03-07,NULL,Active,Sales,Diversity Job Fair,Fully Meets,3.65,Excellent,2011
179,Lucy Bell,68407,Production Technician II,MA,1986-12-10,F,Married,2011-07-05,8/19/2012,Voluntarily Terminated,Production,LinkedIn,Fully Meets,5.0,Good,2011
190,Logan Taylor,58207,Production Technician II,MA,1992-08-17,M,Married,2011-11-07,NULL,Active,Production,LinkedIn,Fully Meets,3.7,Average,2011
207,Grace Ross,71966,Production Technician II,MA,1952-02-11,F,Married,2012-05-14,8/19/2013,Voluntarily Terminated,Production,LinkedIn,Fully Meets,5.0,Average,2012
211,Emily Cooper,68829,Area Sales Manager,NC,1982-05-19,M,Single,2015-01-05,NULL,Active,Sales,Website,Fully Meets,5.0,Excellent,2015
